id,Indicativo,HoraDespegue,RutaSACTA,TipoAeronave,Estela,ProcDesp,PistaDesp
458,ENT72LG,02/05/2023 02:27:34,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B38M,Media,AGENA4R,LEBL-06R
459,RYR4MK,02/05/2023 03:56:27,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
460,VLG2PF,02/05/2023 04:08:59,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,A320,Media,AGENA4R,LEBL-06R
461,TAP39ZL,02/05/2023 04:10:20,DR06RB F01BL BL700 BL720 TASOS BL721 F07BL SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD NATPA MELON CCS **,A21N,Media,SENIA5R,LEBL-06R
462,RYR2ZW,02/05/2023 04:12:20,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
463,RYR1WV,02/05/2023 04:15:56,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
464,SWR1951,02/05/2023 04:17:41,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN DCT PIVUS DCT DIBER **,A321,Media,DALIN4R,LEBL-06R
465,RYR3CD,02/05/2023 04:19:11,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 BL705 SALON AGENA MAROT LUMAS **,B738,Media,AGENA4R,LEBL-06R
466,VLG497G,02/05/2023 04:26:23,DR06RB F01BL BL700 BL707 BL708 BL713 BL714 F37BL LOBAR DIRMU VAKIN ELSAP YAKXU VASUM DGO RATAS NEDUS NUBLO SUSOS DCT LOMDA PIVON VX10N VX06N TH19VX,A320,Media,LOBAR4R,LEBL-06R
467,UPS242,02/05/2023 04:27:33,DCT DR06RB DCT F01BL DCT BL700 012(BL720) 008(TASOS) 015(BL721) 004(F31BL) 4046N00138E DCT LOTOS TORDU DIKUT SOPET VL003 MULAT VC08E VC05E TH30VC,B763,Pesada,-,LEBL-06R
468,RYR88BP,02/05/2023 04:29:34,DCT DR06RB DCT F01BL DCT BL700 007(BL707) 014(BL709) 011(BL710) 4147N00150E 007(BL711) 004(BL712) NATPI **,B738,Media,-,LEBL-06R
469,RYR16RE,02/05/2023 04:34:04,DCT DR06RB DCT F01BL DCT BL700 DCT 4119N00231E 000(BL701) 005(BL702) 005(BL703) 005(BL704) 007(BL705) 008(SALON) AGENA MAROT LUMAS **,B738,Media,-,LEBL-06R
470,RYR55NX,02/05/2023 04:35:35,DCT DR06RB DCT F01BL DCT BL700 DCT 4115N00224E 004(BL701) 004(BL702) 004(BL703) 004(BL704) 006(BL705) 009(BL706) DIPES TOSNU LAPIT OSPOK **,B738,Media,-,LEBL-06R
471,VLG1896,02/05/2023 04:40:46,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN PIVUS DIBER **,A320,Media,DALIN4R,LEBL-06R
472,VLG7YT,02/05/2023 04:42:16,DCT DR06RB DCT F01BL DCT BL700 DCT 4111N00220E 008(BL720) 009(TASOS) 017(LARPA) TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A320,Media,-,LEBL-06R
473,RYR374J,02/05/2023 04:43:36,DCT DR06RB DCT F01BL DCT BL700 DCT BL707 DCT 4137N00210E 000(BL709) 011(BL710) 010(BL711) OLOXO **,B738,Media,-,LEBL-06R
474,RYR16PK,02/05/2023 04:44:57,DCT DR06RB DCT F01BL DCT BL700 DCT 4110N00212E 004(BL720) 008(TASOS) 015(BL721) 003(F31BL) LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS MGA BRIKE VJF TAVSI RUNAX **,B738,Media,-,LEBL-06R
475,AFR35CC,02/05/2023 04:46:22,DCT DR06RB DCT F01BL DCT BL700 DCT 4123N00217E 001(BL707) 013(BL709) 011(BL710) 010(BL711) OLOXO **,A321,Media,-,LEBL-06R
476,VLG8SH,02/05/2023 04:47:37,DCT DR06RB DCT F01BL DCT BL700 DCT 4118N00226E 004(BL701) 005(BL702) 005(BL703) 005(BL704) 007(BL705) 008(SALON) AGENA MAROT LUMAS **,A320,Media,-,LEBL-06R
477,RYR1UZ,02/05/2023 04:49:08,DR06RB F01BL BL700 BL707 BL709 BL710 BL711 OLOXO **,B738,Media,OLOXO1R,LEBL-06R
478,EJU15WP,02/05/2023 04:50:28,DR06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN PIVUS DIBER **,A319,Media,DALIN4R,LEBL-06R
479,VLG1292,02/05/2023 04:52:09,DR06RB F01BL BL700 BL707 BL708 BL713 BL714 F37BL LOBAR DIRMU VAKIN ELSAP YAKXU VASUM DGO RATAS NEDUS NUBLO SUSOS ROVAK LARVO BISMU LOMDA GALZO LRA 07LRA ENONU IF21CO FA21CO TH21CO,A320,Media,LOBAR4R,LEBL-06R
480,RYR7UG,02/05/2023 04:54:25,SC06RB F01BL BL700 BL701 BL702 BL703 BL704 FEVIK DALIN PIVUS DIBER **,B738,Media,LEBL1E,LEBL-06R
